it global_time dt rho m1 m2 e c1 c2 c3 c4 n1 n2 n3 n4 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       0  0.00000000E+00  7.00657896E-05   1.67262178E-23  0.00000000E+00  0.00000000E+00  3.03580853E-21   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       25       0       0       0 |   0.00E+00  0.00E+00  0.00E+00  6.25E+00  2.32E+13  6.46E+12
     100  8.10000000E+01  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.30E+05  1.03E+02  3.80E-02  9.71E-03
     200  1.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.30E+05  1.03E+02  3.81E-02  8.68E-03
     300  2.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.57E+05  1.03E+02  3.16E-02  6.31E-03
     400  3.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.32E+05  1.03E+02  3.75E-02  6.46E-03
     500  4.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.50E+05  1.03E+02  3.30E-02  4.76E-03
     600  5.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.60E+05  1.03E+02  3.09E-02  3.59E-03
     700  6.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.45E+05  1.03E+02  3.41E-02  3.03E-03
     800  7.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.07E+05  1.03E+02  4.61E-02  2.80E-03
     900  8.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.61E+05  1.03E+02  3.07E-02  1.02E-03
    1000  9.81000000E+02  1.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.49E+05  1.03E+02  3.32E-02  1.75E-04
    1019  1.00000000E+03  0.00000000E+00              NaN             NaN             NaN             NaN   1.60000000E-01  5.20000000E-01  1.30000000E-01  1.90000000E-01        4      52      52     304 |   0.00E+00  0.00E+00  1.68E+05  1.03E+02  2.52E+15  0.00E+00
